
L:,12.0,
O:,84.76,-3.34,-44.75,
O:,84.82,-3.32,-44.83,
O:,84.81,-3.33,-44.85,
O:,84.85,-3.3,-44.83,
O:,84.83,-3.32,-44.83,
O:,84.9,-3.27,-44.81,
O:,84.98,-3.22,-44.77,
O:,84.99,-3.22,-44.82,
O:,84.97,-3.22,-44.7,
O:,85.0,-3.2,-44.58,
O:,84.89,-3.27,-44.7,
O:,84.93,-3.25,-44.71,
L:,11.55,
L:,11.05,
O:,85.0,-3.21,-44.75,
L:,11.0,
O:,84.96,-3.24,-44.89,
O:,84.94,-3.26,-44.92,
O:,84.97,-3.23,-44.88,
L:,11.0,
L:,11.0,
S:,507.0,
L:,11.17,
L:,11.92,
L:,12.0,
O:,83.78,-3.68,-45.81,
O:,82.94,-3.66,-45.84,
O:,82.86,-3.62,-45.74,
O:,82.4,-3.58,-45.81,
O:,82.26,-3.51,-45.8,
O:,81.79,-3.57,-45.85,
O:,81.45,-3.54,-45.7,
O:,81.6,-3.48,-45.72,
L:,11.55,
L:,11.05,
L:,11.0,
O:,81.07,-3.55,-45.59,
O:,88.47,-3.52,-48.51,
O:,94.38,-5.18,-50.49,
O:,96.13,-5.03,-50.27,
O:,94.39,-5.41,-49.66,
O:,94.81,-5.16,-47.66,
L:,11.45,
L:,11.95,
O:,96.0,-0.49,-45.42,
L:,12.0,
O:,108.69,9.5,9.5,
L:,12.45,
L:,12.95,
L:,19.33,
L:,26.33,
O:,11.73,126.82,73.13,
O:,338.73,169.42,28.69,
L:,24.73,
L:,22.22,
L:,19.71,
L:,17.2,
L:,14.7,
L:,12.19,
L:,10.68,
L:,10.06,
O:,334.11,161.79,24.32,
L:,9.55,
L:,9.05,
L:,4.93,
L:,0.43,
O:,346.58,142.81,51.37,
L:,93.54,
L:,196.99,
L:,300.43,
L:,200.92,
L:,54.06,
O:,356.81,114.81,62.52,
L:,32.98,
L:,25.23,
L:,17.47,
O:,306.67,140.15,49.25,
L:,16.0,
L:,15.55,
L:,15.05,
O:,298.58,140.52,51.26,
L:,15.0,
L:,13.64,
L:,12.14,
O:,23.48,82.64,72.12,
L:,12.0,
O:,65.31,56.92,57.07,
L:,11.55,
L:,11.05,
O:,72.96,52.83,47.56,
L:,11.0,
O:,76.06,49.93,44.65,
L:,11.45,
L:,11.95,
O:,78.26,49.85,43.09,
L:,12.0,
L:,12.45,
L:,12.95,
O:,85.5,47.47,38.36,
L:,12.55,
L:,12.05,
L:,12.0,
O:,93.98,43.8,33.26,
L:,12.45,
L:,12.95,
L:,13.0,
O:,102.67,40.57,28.01,
L:,12.55,
L:,12.05,
L:,12.0,
O:,98.56,23.12,-7.88,
O:,96.34,14.53,-23.6,
L:,11.55,
L:,11.05,
O:,97.08,15.55,-29.58,
L:,11.0,
O:,96.78,13.26,-35.96,
L:,10.55,
L:,10.05,
L:,10.0,
O:,99.6,10.41,-34.35,
L:,10.9,
L:,11.9,
O:,100.68,11.08,-31.7,
L:,11.55,
L:,11.05,
L:,11.0,
O:,99.22,11.45,-31.84,
O:,97.96,10.54,-32.68,
L:,11.45,
L:,11.95,
L:,11.55,
L:,11.05,
O:,97.32,9.67,-33.46,
L:,11.0,
O:,96.59,8.94,-34.21,
O:,90.25,4.24,-38.61,
O:,86.76,1.15,-40.88,
O:,84.54,-0.69,-42.13,
O:,83.26,-1.84,-42.9,
O:,82.58,-2.57,-43.51,
O:,82.02,-3.08,-43.82,
O:,81.6,-3.39,-44.0,
O:,81.72,-3.5,-44.14,
O:,81.35,-3.7,-44.31,
O:,81.66,-3.79,-44.37,
O:,82.24,-3.87,-44.59,
O:,82.25,-3.75,-44.61,
O:,82.36,-3.72,-44.67,
O:,82.15,-3.81,-44.62,
O:,82.1,-3.86,-44.58,
O:,81.95,-3.92,-44.57,
O:,81.82,-3.97,-44.43,
O:,81.65,-4.08,-44.47,
O:,81.64,-4.08,-44.39,
O:,81.78,-3.98,-44.32,
O:,81.72,-4.02,-44.31,
O:,81.47,-4.18,-44.32,
O:,81.63,-4.07,-44.27,
O:,81.62,-4.08,-44.31,
O:,81.76,-4.0,-44.34,
O:,81.55,-4.13,-44.32,
L:,11.45,
L:,11.95,
L:,12.0,
O:,81.46,-4.21,-44.48,
O:,81.53,-4.15,-44.39,
O:,81.43,-4.21,-44.4,
O:,81.34,-4.28,-44.49,
O:,81.28,-4.33,-44.6,
O:,81.57,-4.15,-44.6,
O:,81.6,-4.12,-44.57,
O:,81.57,-4.14,-44.5,
O:,81.55,-4.15,-44.5,
O:,81.4,-4.24,-44.46,
L:,11.0,
L:,11.0,
S:,507.0,
O:,96.25,-4.76,-45.09,
O:,99.52,-7.44,-45.28,
L:,11.45,
L:,11.95,
O:,95.35,-10.09,-45.22,
L:,12.0,
L:,11.56,
L:,11.06,
O:,90.72,-7.07,-45.12,
L:,11.0,
O:,87.99,-6.16,-43.99,
O:,89.38,-4.09,-41.86,
O:,91.23,0.04,-38.74,
L:,11.0,
O:,90.46,2.58,-40.1,
L:,11.45,
L:,11.95,
L:,13.36,
L:,14.86,
O:,89.19,6.28,-36.7,
L:,15.0,
O:,87.6,8.43,-34.51,
L:,14.55,
L:,14.05,
L:,13.55,
L:,13.05,
O:,86.98,5.27,-36.76,
L:,12.55,
L:,12.05,
L:,12.0,
L:,11.55,
L:,11.05,
O:,82.79,1.06,-38.04,
L:,11.0,
O:,81.23,0.51,-38.89,
O:,80.76,0.5,-39.04,
O:,80.81,0.47,-39.26,
L:,11.45,
L:,11.95,
L:,12.0,
L:,11.55,
L:,11.05,
O:,80.54,0.14,-40.18,
L:,11.0,
L:,11.45,
L:,11.95,
O:,80.27,-0.07,-40.85,
L:,12.0,
O:,80.26,-0.2,-41.31,
O:,80.5,-0.21,-41.58,
O:,80.86,-0.29,-41.69,
O:,80.84,-0.4,-41.85,
O:,81.18,-0.31,-41.93,
O:,80.9,-0.36,-42.02,
O:,80.63,-0.43,-42.13,
O:,80.3,-0.5,-42.16,
O:,80.49,-0.48,-42.19,
O:,80.28,-0.52,-42.21,
O:,80.28,-0.47,-42.26,
O:,80.51,-0.49,-42.25,
O:,80.43,-0.48,-42.19,
O:,80.37,-0.45,-42.15,
O:,80.36,-0.45,-42.18,
O:,80.12,-0.5,-42.22,
O:,80.29,-0.51,-42.29,
O:,80.29,-0.5,-42.25,
O:,80.37,-0.5,-42.21,
O:,80.28,-0.57,-42.27,
O:,80.23,-0.59,-42.19,
O:,80.29,-0.55,-42.22,
O:,80.36,-0.51,-42.19,
O:,80.5,-0.41,-42.15,
O:,80.33,-0.54,-42.23,
O:,80.32,-0.55,-42.3,
O:,80.37,-0.52,-42.35,
O:,80.18,-0.65,-42.4,
O:,80.27,-0.59,-42.37,
O:,80.34,-0.54,-42.34,
O:,80.31,-0.55,-42.31,
O:,80.11,-0.69,-42.33,
O:,80.12,-0.68,-42.34,
O:,80.25,-0.59,-42.28,
O:,80.41,-0.48,-42.23,
L:,11.55,
L:,11.05,
O:,80.52,-0.4,-42.21,
L:,11.0,
O:,80.46,-0.45,-42.25,
L:,11.45,
L:,11.95,
L:,12.0,
O:,80.26,-0.58,-42.26,
O:,80.23,-0.63,-42.34,
O:,80.38,-0.53,-42.37,
O:,80.6,-0.58,-42.32,
O:,80.77,-0.56,-42.29,
O:,80.71,-0.62,-42.28,
O:,80.76,-0.63,-42.24,
O:,81.05,-0.57,-42.24,
O:,81.04,-0.6,-42.26,
O:,80.7,-0.55,-42.26,
O:,80.83,-0.63,-42.23,
O:,80.85,-0.59,-42.28,
O:,80.76,-0.54,-42.24,
O:,80.61,-0.57,-42.16,
O:,80.7,-0.5,-42.16,
O:,80.8,-0.45,-42.27,
O:,80.72,-0.51,-42.3,
O:,80.61,-0.59,-42.33,
O:,80.64,-0.55,-42.2,
O:,80.65,-0.54,-42.18,
O:,80.53,-0.62,-42.18,
O:,80.6,-0.57,-42.19,
O:,80.67,-0.52,-42.14,
O:,80.77,-0.46,-42.14,
L:,2.0,20160402_112902,
L:,2.0,20160402_112902,
S:,349.0,20160402_112902,
O:,81.79,-30.76,-2.91,,
O:,81.85,-30.76,-2.78,,
O:,81.59,-30.68,-2.65,,
O:,82.1,-30.54,-2.93,,
O:,81.54,-30.7,-3.29,,
O:,81.3,-30.79,-3.44,,
O:,81.89,-30.51,-3.62,,
O:,81.8,-30.59,-3.75,,
O:,82.43,-31.16,-3.75,,
O:,83.38,-31.12,-3.81,,
O:,83.54,-30.99,-4.01,,
O:,83.35,-30.77,-3.99,,
O:,83.32,-30.45,-3.9,,
O:,82.72,-30.58,-4.16,,
O:,82.76,-30.72,-4.35,,
O:,83.03,-30.72,-4.31,,
O:,83.09,-30.59,-4.17,,
O:,83.32,-30.44,-4.21,,
O:,83.37,-30.16,-4.17,,
O:,82.99,-30.2,-4.23,,
O:,82.43,-30.27,-4.02,,
O:,82.55,-30.37,-4.2,,
O:,82.98,-30.34,-4.13,,
O:,83.09,-30.19,-3.91,,
O:,82.8,-29.83,-3.59,,
O:,82.53,-29.32,-3.47,,
O:,81.97,-28.96,-3.08,,
O:,81.29,-29.04,-3.14,,
O:,81.94,-28.79,-2.93,,
O:,81.65,-28.85,-2.95,,
O:,81.95,-28.8,-2.82,,
O:,82.34,-29.23,-2.59,,
O:,84.89,-30.69,-1.0,,
O:,85.87,-32.2,0.6,,
O:,86.27,-33.25,2.15,,
O:,86.08,-33.81,1.69,,
O:,84.89,-32.74,0.18,,
O:,83.96,-26.5,0.3,,
L:,2.44,20160402_112910,
L:,2.95,20160402_112910,
L:,3.45,20160402_112910,
L:,3.95,20160402_112910,
O:,83.34,-20.37,4.36,,
L:,3.55,20160402_112910,
L:,3.05,20160402_112910,
O:,82.54,-23.2,6.38,,
L:,3.45,20160402_112910,
L:,3.95,20160402_112910,
L:,4.45,20160402_112910,
L:,4.95,20160402_112910,
L:,5.45,20160402_112910,
L:,5.95,20160402_112910,
O:,83.07,-25.61,7.45,,
L:,6.45,20160402_112910,
L:,6.95,20160402_112910,
O:,83.83,-26.97,8.13,,
L:,7.45,20160402_112911,
L:,7.95,20160402_112911,
L:,8.0,20160402_112911,
L:,7.55,20160402_112911,
L:,7.05,20160402_112911,
O:,84.21,-28.63,9.02,,
L:,7.0,20160402_112911,
O:,84.56,-28.78,9.03,,
L:,7.45,20160402_112911,
L:,7.95,20160402_112911,
L:,8.0,20160402_112911,
O:,85.03,-28.69,8.81,,
L:,7.55,20160402_112911,
L:,7.05,20160402_112911,
O:,84.83,-28.65,7.97,,
L:,7.0,20160402_112911,
L:,6.55,20160402_112912,
L:,6.05,20160402_112912,
O:,84.31,-28.44,6.5,,
L:,5.55,20160402_112912,
L:,5.05,20160402_112912,
O:,83.22,-28.84,5.47,,
L:,5.0,20160402_112912,
L:,5.45,20160402_112912,
L:,5.95,20160402_112912,
O:,82.29,-28.72,5.05,,
L:,5.55,20160402_112912,
L:,5.05,20160402_112912,
O:,79.59,-27.21,5.59,,
L:,5.0,20160402_112912,
L:,4.55,20160402_112912,
L:,4.05,20160402_112912,
L:,4.45,20160402_112912,
L:,4.95,20160402_112912,
O:,80.94,-17.99,5.96,,
L:,5.9,20160402_112912,
L:,6.9,20160402_112912,
O:,79.78,-13.46,10.6,,
L:,7.9,20160402_112913,
L:,8.9,20160402_112913,
L:,8.55,20160402_112913,
L:,8.05,20160402_112913,
L:,8.45,20160402_112913,
L:,8.95,20160402_112913,
O:,80.67,-20.69,21.68,,
L:,7.64,20160402_112913,
L:,6.15,20160402_112913,
O:,82.58,-24.47,21.22,,
L:,5.1,20160402_112913,
L:,4.1,20160402_112913,
L:,4.45,20160402_112913,
L:,4.95,20160402_112913,
L:,5.0,20160402_112913,
O:,69.36,-14.67,-3.58,,
O:,66.4,-11.5,-7.14,,
L:,4.55,20160402_112913,
L:,4.05,20160402_112913,
L:,4.0,20160402_112913,
O:,85.96,-13.83,22.91,,
L:,4.45,20160402_112914,
L:,4.95,20160402_112914,
O:,95.96,-15.1,32.28,,
L:,5.0,20160402_112914,
L:,4.55,20160402_112914,
L:,4.05,20160402_112914,
O:,92.73,-4.99,29.51,,
L:,4.0,20160402_112914,
O:,82.61,1.07,25.32,,
O:,85.51,-2.99,30.15,,
O:,94.79,-3.45,26.96,,
L:,3.55,20160402_112915,
L:,3.05,20160402_112915,
L:,3.0,20160402_112915,
L:,3.45,20160402_112915,
L:,3.95,20160402_112915,
O:,87.02,2.15,23.84,,
L:,4.0,20160402_112915,
O:,79.16,2.71,33.0,,
O:,80.14,-0.63,38.29,,
S:,350.0,20160402_112915,
O:,80.59,-0.38,30.87,,
L:,3.55,20160402_112915,
L:,3.05,20160402_112915,
L:,3.0,20160402_112915,
O:,77.2,0.76,20.93,,
O:,76.11,0.41,21.88,,
O:,76.43,1.5,28.45,,
O:,76.38,1.98,29.14,,
S:,351.0,20160402_112916,
O:,82.15,5.21,17.23,,
O:,84.29,7.07,7.95,,
O:,85.24,8.25,1.91,,
O:,85.9,8.99,-2.27,,
O:,86.01,9.47,-5.05,,
S:,352.0,20160402_112917,
O:,86.38,9.79,-6.81,,
O:,86.51,9.99,-7.94,,
O:,86.84,10.11,-8.61,,
L:,2.0,20160402_112902,
L:,2.0,20160402_112902,
S:,349.0,20160402_112902,
O:,81.79,-30.76,-2.91,,
O:,81.85,-30.76,-2.78,,
O:,81.59,-30.68,-2.65,,
O:,82.1,-30.54,-2.93,,
O:,81.54,-30.7,-3.29,,
O:,81.3,-30.79,-3.44,,
O:,81.89,-30.51,-3.62,,
O:,81.8,-30.59,-3.75,,
O:,82.43,-31.16,-3.75,,
O:,83.38,-31.12,-3.81,,
O:,83.54,-30.99,-4.01,,
O:,83.35,-30.77,-3.99,,
O:,83.32,-30.45,-3.9,,
O:,82.72,-30.58,-4.16,,
O:,82.76,-30.72,-4.35,,
O:,83.03,-30.72,-4.31,,
O:,83.09,-30.59,-4.17,,
O:,83.32,-30.44,-4.21,,
O:,83.37,-30.16,-4.17,,
O:,82.99,-30.2,-4.23,,
O:,82.43,-30.27,-4.02,,
O:,82.55,-30.37,-4.2,,
O:,82.98,-30.34,-4.13,,
O:,83.09,-30.19,-3.91,,
O:,82.8,-29.83,-3.59,,
O:,82.53,-29.32,-3.47,,
O:,81.97,-28.96,-3.08,,
O:,81.29,-29.04,-3.14,,
O:,81.94,-28.79,-2.93,,
O:,81.65,-28.85,-2.95,,
O:,81.95,-28.8,-2.82,,
O:,82.34,-29.23,-2.59,,
O:,84.89,-30.69,-1.0,,
O:,85.87,-32.2,0.6,,
O:,86.27,-33.25,2.15,,
O:,86.08,-33.81,1.69,,
O:,84.89,-32.74,0.18,,
O:,83.96,-26.5,0.3,,
L:,2.44,20160402_112910,
L:,2.95,20160402_112910,
L:,3.45,20160402_112910,
L:,3.95,20160402_112910,
O:,83.34,-20.37,4.36,,
L:,3.55,20160402_112910,
L:,3.05,20160402_112910,
O:,82.54,-23.2,6.38,,
L:,3.45,20160402_112910,
L:,3.95,20160402_112910,
L:,4.45,20160402_112910,
L:,4.95,20160402_112910,
L:,5.45,20160402_112910,
L:,5.95,20160402_112910,
O:,83.07,-25.61,7.45,,
L:,6.45,20160402_112910,
L:,6.95,20160402_112910,
O:,83.83,-26.97,8.13,,
L:,7.45,20160402_112911,
L:,7.95,20160402_112911,
L:,8.0,20160402_112911,
L:,7.55,20160402_112911,
L:,7.05,20160402_112911,
O:,84.21,-28.63,9.02,,
L:,7.0,20160402_112911,
O:,84.56,-28.78,9.03,,
L:,7.45,20160402_112911,
L:,7.95,20160402_112911,
L:,8.0,20160402_112911,
O:,85.03,-28.69,8.81,,
L:,7.55,20160402_112911,
L:,7.05,20160402_112911,
O:,84.83,-28.65,7.97,,
L:,7.0,20160402_112911,
L:,6.55,20160402_112912,
L:,6.05,20160402_112912,
O:,84.31,-28.44,6.5,,
L:,5.55,20160402_112912,
L:,5.05,20160402_112912,
O:,83.22,-28.84,5.47,,
L:,5.0,20160402_112912,
L:,5.45,20160402_112912,
L:,5.95,20160402_112912,
O:,82.29,-28.72,5.05,,
L:,5.55,20160402_112912,
L:,5.05,20160402_112912,
O:,79.59,-27.21,5.59,,
L:,5.0,20160402_112912,
L:,4.55,20160402_112912,
L:,4.05,20160402_112912,
L:,4.45,20160402_112912,
L:,4.95,20160402_112912,
O:,80.94,-17.99,5.96,,
L:,5.9,20160402_112912,
L:,6.9,20160402_112912,
O:,79.78,-13.46,10.6,,
L:,7.9,20160402_112913,
L:,8.9,20160402_112913,
L:,8.55,20160402_112913,
L:,8.05,20160402_112913,
L:,8.45,20160402_112913,
L:,8.95,20160402_112913,
O:,80.67,-20.69,21.68,,
L:,7.64,20160402_112913,
L:,6.15,20160402_112913,
O:,82.58,-24.47,21.22,,
L:,5.1,20160402_112913,
L:,4.1,20160402_112913,
L:,4.45,20160402_112913,
L:,4.95,20160402_112913,
L:,5.0,20160402_112913,
O:,69.36,-14.67,-3.58,,
O:,66.4,-11.5,-7.14,,
L:,4.55,20160402_112913,
L:,4.05,20160402_112913,
L:,4.0,20160402_112913,
O:,85.96,-13.83,22.91,,
L:,4.45,20160402_112914,
L:,4.95,20160402_112914,
O:,95.96,-15.1,32.28,,
L:,5.0,20160402_112914,
L:,4.55,20160402_112914,
L:,4.05,20160402_112914,
O:,92.73,-4.99,29.51,,
L:,4.0,20160402_112914,
O:,82.61,1.07,25.32,,
O:,85.51,-2.99,30.15,,
O:,94.79,-3.45,26.96,,
L:,3.55,20160402_112915,
L:,3.05,20160402_112915,
L:,3.0,20160402_112915,
L:,3.45,20160402_112915,
L:,3.95,20160402_112915,
O:,87.02,2.15,23.84,,
L:,4.0,20160402_112915,
O:,79.16,2.71,33.0,,
O:,80.14,-0.63,38.29,,
S:,350.0,20160402_112915,
O:,80.59,-0.38,30.87,,
L:,3.55,20160402_112915,
L:,3.05,20160402_112915,
L:,3.0,20160402_112915,
O:,77.2,0.76,20.93,,
O:,76.11,0.41,21.88,,
O:,76.43,1.5,28.45,,
O:,76.38,1.98,29.14,,
S:,351.0,20160402_112916,
O:,82.15,5.21,17.23,,
O:,84.29,7.07,7.95,,
O:,85.24,8.25,1.91,,
O:,85.9,8.99,-2.27,,
O:,86.01,9.47,-5.05,,
S:,352.0,20160402_112917,
O:,86.38,9.79,-6.81,,
O:,86.51,9.99,-7.94,,
O:,86.84,10.11,-8.61,,
O:,86.98,10.22,-9.1,,
O:,86.89,10.21,-9.44,,
O:,86.47,10.21,-9.62,,
O:,86.46,10.2,-9.75,,
O:,86.82,10.27,-9.86,,
O:,86.83,10.36,-9.94,,
O:,86.64,10.34,-9.97,,
O:,87.02,10.37,-10.01,,
O:,86.56,10.35,-10.02,,
O:,86.37,10.39,-10.05,,
O:,86.46,10.38,-10.07,,
O:,86.26,10.37,-10.02,,
O:,86.28,10.37,-10.06,,
O:,86.23,10.35,-10.06,,
O:,86.24,10.35,-10.06,,
O:,86.2,10.33,-10.09,,
O:,86.23,10.35,-10.02,,
O:,86.14,10.3,-9.95,,
O:,86.18,10.32,-9.99,,
O:,86.26,10.36,-10.06,,
O:,86.23,10.35,-10.04,,
O:,86.23,10.35,-10.05,,
O:,86.25,10.35,-10.11,,
O:,86.26,10.36,-10.13,,
O:,86.19,10.32,-10.13,,
O:,86.19,10.32,-10.13,,
O:,86.07,10.26,-10.11,,
O:,86.09,10.27,-10.12,,
O:,86.16,10.31,-10.1,,
O:,86.16,10.3,-10.09,,
O:,86.16,10.31,-10.06,,
O:,86.14,10.3,-10.08,,
O:,86.09,10.27,-10.07,,
O:,86.21,10.34,-10.06,,
O:,86.12,10.29,-10.1,,
O:,86.18,10.32,-10.09,,
O:,86.2,10.32,-10.14,,
O:,86.2,10.33,-10.14,,
O:,86.19,10.32,-10.16,,
O:,86.25,10.35,-10.15,,
O:,86.21,10.33,-10.14,,
O:,86.18,10.32,-10.13,,
O:,86.23,10.35,-10.06,,
O:,86.17,10.31,-10.09,,
O:,86.27,10.36,-10.13,,
O:,86.23,10.34,-10.17,,
O:,86.31,10.38,-10.16,,
O:,86.36,10.41,-10.15,,
O:,86.38,10.42,-10.11,,
O:,86.41,10.44,-10.15,,
O:,86.43,10.44,-10.19,,
O:,86.3,10.38,-10.19,,
O:,86.34,10.4,-10.14,,
O:,86.34,10.4,-10.14,,
O:,86.27,10.36,-10.15,,
O:,86.34,10.4,-10.18,,
O:,86.3,10.38,-10.16,,
O:,86.35,10.4,-10.17,,
O:,86.33,10.39,-10.15,,
O:,86.33,10.39,-10.17,,
O:,86.38,10.42,-10.15,,
O:,86.32,10.39,-10.11,,
O:,86.38,10.42,-10.13,,
O:,86.37,10.42,-10.11,,
O:,86.38,10.42,-10.17,,
O:,86.41,10.44,-10.17,,
O:,86.33,10.4,-10.14,,
O:,86.24,10.35,-10.14,,
O:,86.21,10.33,-10.14,,
O:,86.21,10.33,-10.11,,
O:,86.23,10.34,-10.08,,
O:,86.17,10.31,-10.14,,
O:,86.27,10.37,-10.11,,
O:,86.27,10.37,-10.08,,
O:,86.18,10.31,-10.11,,
O:,86.13,10.29,-10.1,,
O:,86.2,10.33,-10.1,,
O:,86.26,10.36,-10.12,,
O:,86.21,10.33,-10.12,,
O:,86.17,10.32,-10.07,,
,-29.28,,
L:,2.55,20160402_135205,
L:,2.05,20160402_135205,
L:,2,20160402_135205,
O:,169.15,89.31,-26.21
L:,3.81,20160402_135206,
L:,5.81,20160402_135206,
O:,158.32,87.31,-40.1
L:,6.45,20160402_135206,
L:,6.95,20160402_135206,
L:,6.55,20160402_135206,
L:,6.05,20160402_135206,
S:,376,20160402_135206,
O:,168.37,89.48,-50.02
S:,377,20160402_135206,
L:,5.55,20160402_135206,
L:,5.05,20160402_135206,
L:,4.1,20160402_135206,
L:,3.1,20160402_135206,
,-29.28,,
L:,2.55,20160402_135205,
L:,2.05,20160402_135205,
L:,2,20160402_135205,
O:,169.15,89.31,-26.21
L:,3.81,20160402_135206,
L:,5.81,20160402_135206,
O:,158.32,87.31,-40.1
L:,6.45,20160402_135206,
L:,6.95,20160402_135206,
L:,6.55,20160402_135206,
L:,6.05,20160402_135206,
S:,376,20160402_135206,
O:,168.37,89.48,-50.02
S:,377,20160402_135206,
L:,5.55,20160402_135206,
L:,5.05,20160402_135206,
L:,4.1,20160402_135206,
L:,3.1,20160402_135206,
O:,175.54,92.14,-41.85
L:,2.55,20160402_135206,
L:,2.05,20160402_135206,
L:,2,20160402_135206,
O:,165.74,89.87,-30.27
O:,160.09,88.94,-32.51
L:,3.79,20160402_135207,
L:,5.8,20160402_135207,
L:,6.45,20160402_135207,
L:,6.95,20160402_135207,
O:,167.98,95.32,-47.06
L:,7,20160402_135207,
O:,181.08,100.35,-55.87
S:,378,20160402_135207,
L:,7.45,20160402_135207,
L:,7.95,20160402_135207,
L:,7.55,20160402_135207,
L:,7.05,20160402_135207,
O:,183.15,94.71,-48.23
L:,6.1,20160402_135207,
L:,5.1,20160402_135207,
L:,3.66,20160402_135207,
L:,2.16,20160402_135207,
O:,167.71,94.71,-33.69
L:,1.55,20160402_135207,
L:,1.05,20160402_135207,
L:,1,20160402_135207,
O:,147.96,102.63,-37.22
L:,3.66,20160402_135208,
L:,6.61,20160402_135208,
L:,8.32,20160402_135208,
L:,9.85,20160402_135208,
O:,150.84,106.77,-50.08
L:,10.89,20160402_135208,
L:,11.88,20160402_135208,
L:,11.56,20160402_135208,
L:,11.05,20160402_135208,
S:,379,20160402_135208,
O:,165.47,106.62,-52.47
L:,8.74,20160402_135208,
L:,6.24,20160402_135208,
L:,4.19,20160402_135208,
L:,2.19,20160402_135208,
O:,163.97,105.91,-43.72
L:,1.55,20160402_135208,
L:,1.05,20160402_135208,
L:,1,20160402_135208,
O:,151,106.02,-38.25
L:,1.45,20160402_135208,
L:,1.95,20160402_135208,
O:,146.19,105.44,-41.39
L:,3.36,20160402_135209,
L:,4.86,20160402_135209,
L:,6.36,20160402_135209,
L:,7.85,20160402_135209,
O:,152.75,105.62,-48.15
L:,8.9,20160402_135209,
L:,9.9,20160402_135209,
L:,10,20160402_135209,
O:,159.43,105.06,-52.88
S:,380,20160402_135209,
S:,381,20160402_135209,
L:,9.1,20160402_135209,
L:,8.1,20160402_135209,
L:,6.64,20160402_135209,
L:,5.14,20160402_135209,
O:,158.14,100.95,-50.3
L:,3.65,20160402_135209,
L:,2.15,20160402_135209,
L:,1.55,20160402_135209,
L:,1.05,20160402_135209,
O:,151.24,97.58,-46.46
L:,1,20160402_135209,
O:,146.38,96.39,-46.56
L:,1.45,20160402_135210,
L:,1.95,20160402_135210,
L:,2.45,20160402_135210,
L:,2.95,20160402_135210,
O:,145.32,96.18,-48.52
L:,3.45,20160402_135210,
L:,3.95,20160402_135210,
L:,4,20160402_135210,
O:,147.03,96.45,-49.59
O:,147.33,96.25,-50.07
L:,4.45,20160402_135210,
L:,4.95,20160402_135210,
O:,147.32,95.7,-50.26
L:,5,20160402_135210,
L:,4.55,20160402_135210,
L:,4.05,20160402_135210,
O:,148.94,96.06,-50.09
L:,3.55,20160402_135211,
L:,3.05,20160402_135211,
L:,3,20160402_135211,
O:,149.61,96.72,-49.61
O:,149.74,97.9,-49.17
S:,382,20160402_135211,
L:,3.45,20160402_135211,
L:,3.95,20160402_135211,
O:,150.45,98.96,-49.39
L:,4.45,20160402_135211,
L:,4.95,20160402_135211,
L:,5,20160402_135211,
O:,152.74,100.65,-49.32
L:,4.55,20160402_135212,
L:,4.05,20160402_135212,
O:,153.07,102.55,-48.67
L:,4.45,20160402_135212,
L:,4.95,20160402_135212,
L:,5,20160402_135212,
O:,151.49,104.95,-48.42
L:,4.55,20160402_135212,
L:,4.05,20160402_135212,
O:,146.85,106.66,-48.63
S:,383,20160402_135212,
L:,3.55,20160402_135212,
L:,3.05,20160402_135212,
L:,3,20160402_135212,
O:,140.91,106.98,-47.85
L:,2.55,20160402_135212,
L:,2.05,20160402_135212,
L:,2.45,20160402_135212,
L:,2.95,20160402_135212,
O:,132.05,105.97,-49.28
L:,3.45,20160402_135212,
L:,3.95,20160402_135212,
L:,4,20160402_135212,
O:,125.1,103.74,-52.25
L:,3.55,20160402_135213,
L:,3.05,20160402_135213,
L:,3,20160402_135213,
O:,117.83,101.69,-54.56
L:,3.9,20160402_135213,
L:,4.9,20160402_135213,
L:,6.81,20160402_135213,
L:,8.81,20160402_135213,
O:,99.81,100.91,-59.1
L:,9.45,20160402_135213,
L:,9.95,20160402_135213,
L:,8.65,20160402_135213,
L:,7.14,20160402_135213,
O:,75.88,99.08,-59.72
L:,6.1,20160402_135213,
L:,5.1,20160402_135213,
L:,3.19,20160402_135213,
L:,1.19,20160402_135213,
O:,53.21,95.84,-53.09
L:,1.9,20160402_135213,
L:,2.9,20160402_135213,
L:,4.35,20160402_135213,
L:,5.85,20160402_135213,
O:,31.75,95.78,-46.6
L:,12.76,20160402_135214,
L:,20.25,20160402_135214,
L:,15.14,20160402_135214,
L:,8.63,20160402_135214,
O:,11.34,93.38,-51.34
L:,5.74,20160402_135214,
L:,3.24,20160402_135214,
L:,3.9,20160402_135214,
L:,4.9,20160402_135214,
O:,350.6,85.43,-66.62
L:,5,20160402_135214,
L:,4.1,20160402_135214,
L:,3.1,20160402_135214,
O:,326.13,80.74,-66.1
L:,4.81,20160402_135214,
L:,6.8,20160402_135214,
L:,9.71,20160402_135214,
L:,12.7,20160402_135214,
O:,325.22,87.96,-42.48
L:,13.45,20160402_135214,
L:,13.95,20160402_135214,
L:,9.03,20160402_135214,
L:,3.53,20160402_135214,
O:,334.88,94.33,-36.42
L:,2.55,20160402_135215,
L:,2.05,20160402_135215,
L:,2,20160402_135215,
O:,343.62,104.01,-55.95
O:,343.39,108.34,-64.07
L:,2.45,20160402_135215,
L:,2.95,20160402_135215,
O:,329.32,103.84,-49.91
